Product_ID,on_hand
1783,0
1785,0
1788,0
1789,0
1791,0
1792,0
1795,0
1797,0
1801,15
1803,14
1805,99
1807,1
1809,0
1810,0
1811,0
1815,0
1817,0
1818,0
1819,0
1824,0
1825,0
1834,35
1835,8
1839,72
1844,61
1845,6
1847,3
1848,32
1849,30
1854,15
1862,0
1865,0
1866,0
1867,0
1869,0
1872,0
1873,0
1874,0
1876,0
1878,0
1879,0
1882,0
1884,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1898,23
1909,1
1912,0
1913,0
1914,0
1916,0
1917,0
1918,0
1920,0
1926,0
1927,0
1928,0
1929,0
1931,0
1932,0
1933,0
1938,0
1939,0
1947,0
1948,0
1949,0
1950,0
1952,0
1954,63
1955,22
1957,10
1958,15
1965,0
1981,0
1993,0
1995,0
2001,0
2004,0
2005,0
2009,0
2011,0
2049,1
2050,1
2052,0
2057,0
2061,0
2063,0
2064,0
2065,0
2069,0
2073,36
2076,15
2077,23
2079,10
2081,8
2082,81
2088,38
2089,2
2090,34
2095,21
2098,17
2099,1
2100,17
2101,14
2106,1
2109,1
2112,0
2113,0
2114,0
2116,0
2117,0
2118,0
2120,0
2121,0
2122,0
2123,0
2124,0
2128,0
2131,0
2133,0
2139,23
2141,9
2142,10
2145,5
2146,4
2147,0
2150,0
2153,1
2158,5
2162,1
2163,1
2164,0
2167,0
2179,0
2191,0
2192,0
2195,0
2197,0
2198,0
2200,0
2202,0
2209,0
2214,0
2217,0
2218,0
2222,0
2223,0
2224,0
2225,0
2230,0
2236,0
2237,0
2240,0
2244,0
2253,0
2256,0
2257,0
2259,0
2260,0
2264,0
2270,0
2272,0
2278,0
2281,0
2283,0
2285,0
2287,0
2288,0
2289,0
2293,0
2294,0
2295,0
2296,0
2298,0
2299,0
2308,5
2309,4
2315,1
2316,5
2320,34
2325,1
2328,11
2329,1
2330,4
2332,0
2333,0
2334,0
2335,0
2337,0
2338,0
2339,0
2340,0
2345,0
2346,0
2347,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2361,0
2363,0
2374,0
2375,0
2377,0
2378,0
2380,0
2384,0
2385,0
2387,0
2392,0
2397,0
2399,0
2400,0
2401,0
2402,0
2403,0
2405,0
2413,0
2416,0
2417,0
2425,0
2426,0
2431,0
2432,0
2433,0
2436,0
2443,0
2449,0
2450,0
2453,0
2455,0
2459,0
2465,0
2468,0
2469,0
2471,0
2472,0
2473,0
2474,0
2477,0
2481,0
2484,121
2485,23
2487,20
2488,19
2489,9
2491,8
2492,11
2496,2
2497,1
2499,43
2500,16
2501,2
2504,2
2508,1
2513,0
2514,0
2515,0
2518,0
2520,0
2521,0
2522,0
2523,0
2524,0
2526,0
2527,0
2528,0
2530,0
2538,0
2539,0
2541,0
2542,0
2545,0
2548,0
2552,0
2554,0
2555,0
2557,0
2558,0
2560,0
2561,0
2564,0
2565,0
2566,0
2573,0
2574,0
2578,0
2582,0
2591,0
2594,0
2598,0
2599,0
2614,0
2616,0
2619,0
2622,0
2624,0
2626,0
2628,0
2631,0
2638,0
2641,0
2642,0
2646,0
2650,0
2651,0
2653,224
2655,83
2656,167
2657,51
2658,50
2660,16
2664,13
2667,37
2670,7
2673,5
2679,11
2684,6
2687,62
2691,19
2693,4
2695,5
2696,7
2703,36
2704,7
2705,2
2706,2
2710,6
2712,1
2718,16
2721,16
2725,15
2730,19
2732,21
2734,1
2736,7
2740,7
2741,1
2742,1
2745,6
2747,5
2749,4
2751,3
2755,1
2758,2
2764,0
2766,0
2769,0
2770,0
2773,0
2774,0
2775,0
2778,0
2785,0
2786,0
2788,0
2790,0
2792,0
2793,0
2796,0
2798,0
2799,0
2807,0
2809,0
2813,0
2814,0
2820,0
2822,0
2826,0
2828,0
2830,0
2831,0
2832,0
2833,0
2836,0
2837,0
2839,0
2840,0
2841,0
2843,0
2844,0
2845,0
2846,0
2848,0
2849,0
2850,0
2851,0
2855,0
2856,0
2857,0
2858,0
2860,0
2861,0
2862,0
2867,0
2871,0
2873,0
2878,0
2883,0
2892,0
2902,0
2910,0
2911,0
2915,0
2916,0
2922,0
2923,0
2924,0
2925,0
2927,0
2931,0
2934,0
2942,0
2944,0
2949,0
2953,0
2960,0
2963,0
2967,0
2975,0
2977,0
2984,0
2992,0
2993,0
2994,0
2995,0
2997,0
2999,0
3012,0
3013,0
3014,0
3015,0
3017,0
3023,0
3025,0
3027,0
3030,0
3031,0
3032,0
3034,0
3035,0
3037,0
3039,0
3040,0
3043,0
3044,0
3046,0
3048,0
3049,0
3050,0
3051,0
3053,0
3054,0
3055,0
3059,0
3062,0
3063,0
3068,0
3075,0
3077,0
3078,0
3079,0
3081,0
3085,0
3086,0
3087,0
3091,0
3092,0
3096,0
3097,0
3103,0
3105,0
3106,0
3108,0
3111,0
3114,0
3116,0
3117,0
3125,0
3133,0
3135,0
3137,0
3139,0
3140,0
3143,0
3150,0
3151,0
3153,0
3160,0
3161,0
3162,0
3164,0
3165,0
3166,0
3167,0
3169,0
3171,0
3172,0
3175,0
3176,0
3177,0
3178,0
3179,0
3183,0
3184,0
3187,0
3189,0
3194,0
3197,0
3201,0
3204,0
3206,0
3208,0
3211,0
3212,0
3214,0
3216,0
3220,0
3221,0
3222,0
3224,0
3226,0
3233,0
3239,0
3241,0
