Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto,Cluster,is_outlier,precio_medio
1188,8436567350340,226ERS,226ERS SPORTS THINGS SL,"226ERS ENERGY DRINK 500 GRAMOS  - Bebida EnergA(c)tica Sin Gluten - Vegana - Sin AzAocar / Sugar Free - Con Amilopectina, L-Carnitina, Taurina, Vitaminas y Sales Minerales Sabor Limón",Hidratación,0,False,Activo,1,0,75.08
1194,8436567355826,226ERS,226ERS SPORTS THINGS SL,226ers Crema Keto Butter Turrón 350 gr Sabor Nougat,Proteínas,0,False,Activo,3,0,85.61
1197,8436567353310,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask Hydrazero - Multicolor Talla de accesorios fitness M,Deportes,0,False,Activo,1,0,60.036666666666676
1199,8436567353303,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask White Hydrazero - Multicolor Talla de accesorios fitness M,Deportes,0,False,Activo,1,0,36.7675
1201,8436567354164,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Edicion Movistar Face Mask Azul Ear Talla de ropa M,Deportes,0,False,Activo,1,0,39.59333333333333
1204,8436567353563,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Hydrazero Blanco Ear Talla de ropa L,Deportes,0,False,Activo,2,0,89.28999999999999
1206,8436567354201,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Knolling Negro Ear Talla de ropa M,Deportes,0,False,Activo,1,0,63.089999999999996
1207,8436567354157,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Movistar Talla de ropa L,Deportes,0,False,Activo,2,0,63.99000000000001
1210,8436567354607,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Race Ear Talla de ropa L,Deportes,0,False,Activo,1,0,60.09666666666666
1215,8436567353419,226ERS,226ERS SPORTS THINGS SL,226ERS Crema de Almendra Tostada 100% 320 gr,Fit Food,0,False,Activo,1,0,68.17333333333333
