Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto,Cluster,is_outlier,precio_medio,nombre_normalizado,pack_size,uom
1222,8436567355208,226ERS,226ERS SPORTS THINGS SL,226ers Gorro Natación Blanco,Deportes,0,False,Activo,2,0,90.35,226ers gorro natacion blanco,,
1225,8414606333196,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Plus Gel Limón con 25 mg de Cafeina Big - 1 gel x 40 gr Sabor Limón,Energía,0,False,Activo,1,0,62.62666666666666,226ers energy plus gel limon con 25 mg de cafeina big - 1 gel x 40 gr sabor limon,,
1229,8436567354706,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Sport Gummies Pectina Electrolyte 1 Bolsa X 5 Unid Sabor Lima,Hidratos de carbono,0,False,Activo,2,0,31.425000000000004,226ers vegan sport gummies pectina electrolyte 1 bolsa x 5 unid sabor lima,,
1232,8594159533639,Amix,AMIX LEVANTE S.L.,Amix Creatina Monohidrato 300 Gr  100% Micronizada Mejora Potencia Muscular,Creatina,128,False,Activo,1,0,49.833333333333336,amix creatina monohidrato 300 gr 100% micronizada mejora potencia muscular,300.0,g
1233,8594159531109,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Chocolate",Proteínas,17,False,Activo,1,0,66.19,"amix isoprime cfm isolate protein 2 kg - contiene enzimas digestivas , proteinas para aumentar masa muscular sabor chocolate",,
1234,8594159533141,Amix,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Chocolate,Proteínas,22,False,Activo,1,0,20.785,amix predator protein 2 kg proteinas l-glutamina - ayuda al crecimiento muscular - proteana de suero de calidad sabor chocolate,,
1235,8594159531147,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Fresa",Proteínas,15,False,Activo,1,0,51.02,"amix isoprime cfm isolate protein 2 kg - contiene enzimas digestivas , proteinas para aumentar masa muscular sabor fresa",,
1238,8594159533332,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Chocolate Blanco",Proteínas,13,False,Activo,3,0,53.755,"amix isoprime cfm isolate protein 2 kg - contiene enzimas digestivas , proteinas para aumentar masa muscular sabor chocolate blanco",,
1240,8594159534513,Amix,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor Cookies-Cream",Proteínas,11,False,Activo,1,0,56.120000000000005,"amix isoprime cfm isolate protein 2 kg - contiene enzimas digestivas , proteinas para aumentar masa muscular sabor cookies-cream",,
1243,8594159533790,Amix,AMIX LEVANTE S.L.,"Amix Anabolic Masster 2,2 kg Proteínas Aumenta la Fuerza Sabor Fresa",Proteínas,12,False,Activo,1,0,65.175,"amix anabolic masster 2,2 kg proteinas aumenta la fuerza sabor fresa",,
1245,8594159534575,Amix,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Cookies-Cream,Proteínas,14,False,Activo,1,0,51.623333333333335,amix predator protein 2 kg proteinas l-glutamina - ayuda al crecimiento muscular - proteana de suero de calidad sabor cookies-cream,,
1248,8594159533806,Amix,AMIX LEVANTE S.L.,"Amix Anabolic Masster 2,2 kg Proteínas Aumenta la Fuerza Sabor Vainilla",Proteínas,11,False,Activo,1,0,43.0925,"amix anabolic masster 2,2 kg proteinas aumenta la fuerza sabor vainilla",,
1250,8594159531611,Amix,AMIX LEVANTE S.L.,AMIX Creatina Monohidrato Kre-Alkalyn 150 Cápsulas - Ideal para Deportistas - Proteínas para Aumentar Masa Muscular,Creatina,21,False,Activo,1,0,67.675,amix creatina monohidrato kre-alkalyn 150 capsulas - ideal para deportistas - proteinas para aumentar masa muscular,,
1251,8594159534414,Amix,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Cookies-Cream",Proteínas,9,False,Activo,3,0,72.81,"amix whey pure fusion 2,3 kg - proteana isolada - ra!pida recuperacion sabor cookies-cream",,
1252,8594159533158,Amix,AMIX LEVANTE S.L.,"Amix Predator Protein 4 Kg -ProteAna en Polvo, Crecimiento de Masa Muscular /Contiene Enzimas Digestivas Sabor Chocolate",Proteínas,6,False,Activo,3,0,32.88666666666666,"amix predator protein 4 kg -proteana en polvo, crecimiento de masa muscular /contiene enzimas digestivas sabor chocolate",,
