__motivo__,Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto
En catálogo con Product_ID pero sin demanda,1068,8436567353297,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Cherry,Vegano,145,False,Inactivo
En catálogo con Product_ID pero sin demanda,1069,8436567352504,226ERS,226ERS SPORTS THINGS SL,226ERS Neo Bar 45% Protein 1 barrita x 50 gr Sabor Chocolate-Coco,Barritas,138,False,Inactivo
En catálogo con Product_ID pero sin demanda,1070,0,226ERS,226ERS SPORTS THINGS SL,226ERS Isolate Protein Drink 1 Kg - Batido de Proteínas Sin Gluten - Bajo En AzAocar - Recuperación Y Aporte De ProteAna Low Carb Sabor Chocolate,Sin Gluten,6,False,Inactivo
En catálogo con Product_ID pero sin demanda,1071,8436567350234,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Gel BIO Melon con 50 mg de Cafeina - 1 gel x 25 gr Sabor Melón,Geles Energéticos,179,False,Inactivo
En catálogo con Product_ID pero sin demanda,1072,8436567354973,226ERS,226ERS SPORTS THINGS SL,226ERS Box Race Day Bar - Barritas EnergA(c)ticas Bcaa 6 Barritas X 40 Gr Sabor Banana-Jengibre,Barritas,29,False,Activo
En catálogo con Product_ID pero sin demanda,1073,8436567354980,226ERS,226ERS SPORTS THINGS SL,226ERS Box Race Day Bar - Barritas Choco Bits 6 Barritas X 40 Gr Sabor Limón,Barritas,29,False,Activo
En catálogo con Product_ID pero sin demanda,1074,8436567354652,226ERS,226ERS SPORTS THINGS SL,226ERS Chew Salts 13 Tabs Sabor Limón,Vitaminas y Minerales,61,False,Inactivo
En catálogo con Product_ID pero sin demanda,1077,8436567350661,226ERS,226ERS SPORTS THINGS SL,226ERS BCAA's 8:1:1 300 gr Sabor Cola,Aminoacidos,13,False,Activo
En catálogo con Product_ID pero sin demanda,1078,8436567351101,226ERS,226ERS SPORTS THINGS SL,226ERS Recovery Drink 1 und x 50 gr Sabor Chocolate,Energía,119,False,Activo
En catálogo con Product_ID pero sin demanda,1079,8436567350302,226ERS,226ERS SPORTS THINGS SL,226ERS Sub9 Salts Electrolytes 1 Packs Duplo x 2 caps - Sales en Cápsulas,Sin Gluten,335,False,Inactivo
En catálogo con Product_ID pero sin demanda,1081,8436567353082,226ERS,226ERS SPORTS THINGS SL,226ERS HydraZero Bebida de Sales Minerales 225 gr Sabor Fresa,Hidratación,11,False,Activo
En catálogo con Product_ID pero sin demanda,1082,8436567353501,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar Choco Bits 1 barrita x 40 gr Sabor Coffee & Cocoa,Barritas,150,False,Activo
En catálogo con Product_ID pero sin demanda,1083,8436567356199,226ERS,226ERS SPORTS THINGS SL,226ERS Keto Bar 1 Barrita x 45 Gr - Low Carb / Sin Gluten Sabor Almendra,Dieta Keto,116,False,Activo
En catálogo con Product_ID pero sin demanda,1085,8436567355000,226ERS,226ERS SPORTS THINGS SL,226ERS Box Race Day Bar - Barritas Choco Bits 6 Barritas X 40 Gr Sabor CafA(c)-Chocolate,Barritas,24,False,Activo
En catálogo con Product_ID pero sin demanda,1088,8436567351064,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Gel BIO Fresa-Platano Sin Cafeina en Stick - 1 gel x 25 gr Sabor Fresa-PlA!tano,Sin Lactosa,155,False,Inactivo
En catálogo con Product_ID pero sin demanda,1091,8436567351125,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Drink 1 und x 50 gr Sabor Limón,Hidratación,126,False,Activo
En catálogo con Product_ID pero sin demanda,1093,0,226ERS,226ERS SPORTS THINGS SL,226ERS Neo Bar 45% Protein 1 barrita x 50 gr Sabor Banana-Chocolate,Barritas,94,False,Inactivo
En catálogo con Product_ID pero sin demanda,1094,0,226ERS,226ERS SPORTS THINGS SL,226ERS Neo Bar 45% Protein 1 barrita x 50 gr Sabor Black Cookie,Barritas,94,False,Inactivo
En catálogo con Product_ID pero sin demanda,1097,8436567352214,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Gummy BCAAA's Bar 1 barrita x 30 gr Sabor Mango,Aminoacidos,107,False,Activo
En catálogo con Product_ID pero sin demanda,1098,8436567353235,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Beta Alanine 800 Miligramos 90 Cápsulas,Sin Gluten,14,False,Activo
En catálogo con Product_ID pero sin demanda,1102,8436567352528,226ERS,226ERS SPORTS THINGS SL,226ERS Neo Bar 45% Protein 1 barrita x 50 gr Sabor Choco Blanco-Fresa,Barritas,82,False,Inactivo
En catálogo con Product_ID pero sin demanda,1103,8436567350678,226ERS,226ERS SPORTS THINGS SL,226ERS BCAA's 8:1:1 300 gr Sabor Limón,Aminoacidos,9,False,Activo
En catálogo con Product_ID pero sin demanda,1104,8436567352160,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Oat Bar 1 barrita x 50 gr Sabor Pistacho-Chá,Sin Gluten,83,False,Inactivo
