item_id,Proveedor,Nombre,Categoria,stock_actual,supplier_name,item_name,category,ROP,flag_rotura,flag_bajo
1147,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa S,Deportes,0,,,,0.0,True,False
1150,226ERS SPORTS THINGS SL,226ERS Night Recovery Cream - Recuperador Muscular Nocturno 1000 gr Sabor Vainilla,Recuperación,0,,,,0.0,True,False
1152,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa XL",Deportes,0,,,,0.0,True,False
1155,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa S",Deportes,0,,,,0.0,True,False
1157,226ERS SPORTS THINGS SL,226ERS Whey Protein 1 Kilogramo - ProteAna Suero de Leche Concentrada / Sin Gluten Sabor PiA+-a Colada,Proteínas,0,,,,0.0,True,False
1159,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Fresa,Recuperación,0,,,,0.0,True,False
1162,226ERS SPORTS THINGS SL,226ers Batido Keto Protein 500 gr Sabor Chocolate,Proteínas,0,,,,0.0,True,False
1163,226ERS SPORTS THINGS SL,226ers Batido Keto Protein 500 gr Sabor Limón-Yogurt,Proteínas,0,,,,0.0,True,False
1169,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Sandá,Recuperación,0,,,,0.0,True,False
1170,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Fresa,Recuperación,0,,,,0.0,True,False
1174,226ERS SPORTS THINGS SL,226ERS Veggie Protein Brownie - Brownie ProtA(c)ico 420 gr Sabor Chocolate,Vegano,0,,,,0.0,True,False
1176,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 37,Deportes,0,,,,0.0,True,False
1177,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 38,Deportes,0,,,,0.0,True,False
1181,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 42,Deportes,0,,,,0.0,True,False
1183,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 44,Deportes,0,,,,0.0,True,False
1184,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 45,Deportes,0,,,,0.0,True,False
1185,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 46,Deportes,0,,,,0.0,True,False
1187,226ERS SPORTS THINGS SL,226ERS Vegan Symbiotic Complex 60 caps,Vitaminas y Minerales,0,,,,0.0,True,False
1188,226ERS SPORTS THINGS SL,"226ERS ENERGY DRINK 500 GRAMOS  - Bebida EnergA(c)tica Sin Gluten - Vegana - Sin AzAocar / Sugar Free - Con Amilopectina, L-Carnitina, Taurina, Vitaminas y Sales Minerales Sabor Limón",Hidratación,0,,,,0.0,True,False
1194,226ERS SPORTS THINGS SL,226ers Crema Keto Butter Turrón 350 gr Sabor Nougat,Proteínas,0,,,,0.0,True,False
1197,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask Hydrazero - Multicolor Talla de accesorios fitness M,Deportes,0,,,,0.0,True,False
1199,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask White Hydrazero - Multicolor Talla de accesorios fitness M,Deportes,0,,,,0.0,True,False
